Company Name,Ticker Symbol,Industry Name,SIC Code,Exchange Code,Size class,Stock Price,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,Book Value of Equity,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Eff Tax Rate (+ve income),Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings,Fiscal Year End Date
Agilent Technologies,A,Precision Instrument,3800,NYS,10,$34.93,4275482,356,"$12,096.90","$3,691.00","$15,787.90","$11,588.90","$4,199.00","$5,444.00","$6,615.00",19.39,11.95,$3.05,11.45,0.99,3.75,2.22,20.48,15.09,4.26,2.28,2.13,1.75,NA,19.50%,6.50%,18.08%,1.58,1.10,0.3174,41.65%,$2.46,0.6603,0.00%,0.44%,19.33%,20.55%,11.46%,10.40%,2720,3228,9696,$388.00,$83.46,$624.00,$566.00,$558.83,$	768.00,$556.38,1.27%,1.27%,7.13%,26.60%,77.13%,43.31%,$121.00,$202.00,"$2,364.00","$6,615.00","$1,012.00",$0.00,5.16%,10.11%,30.51%,23.38%,53.35%,0.00%,1.00%,82.10%,10/31/10
Alcoa Inc.,AA,Metals & Mining (Div.),1000,NYS,9,$8.65,28578799,1022,"$9,472.10","$9,165.00","$18,637.10","$17,094.10","$1,543.00","$21,013.00","$24,614.00",36.15,8.40,$1.40,6.18,NA,0.70,0.45,13.63,6.32,0.81,0.82,0.81,0.69,NA,NA,3.00%,8.65%,2.08,1.45,0.3722,46.93%,-$364.22,0.7724,56.76%,-39.79%,1.92%,4.31%,1.25%,5.97%,21233,13611,39293,$413.00,$70.78,$262.00,"$1,254.00",$915.33,"$	2,704.00","$1,279.56",27.01%,52.19%,1.97%,8.28%,7.34%,3.93%,"$1,015.00","$1,450.00","$1,135.00","$24,614.00","$1,127.00",$148.71,13.03%,51.31%,96.76%,49.18%,40.24%,1.57%,2.00%,61.24%,12/31/10
Asset Acceptance Capital Corp,AACC,Financial Svcs. (Div.),6100,NDQ,5,$3.91,34598,30.6,$116.90,$157.50,$274.40,$268.80,$5.60,$198.40,$209.20,NA,129.89,NA,NA,NA,0.94,0.59,48.87,26.35,0.97,0.98,1.35,1.28,NA,14.00%,NA,14.96%,2.27,1.15,0.4406,71.32%,$13.84,0.4031,NA,251.60%,-1.29%,1.99%,-0.81%,2.77%,275.8,123.9,363.8,$298.30,$16.24,-$1.60,$5.50,$5.50,$	10.20,-$8.34,0.00%,NA,150.35%,2.04%,2.82%,1.54%,$2.30,$4.70,$16.50,$209.20,$0.90,$0.00,3.93%,3.60%,134.73%,57.40%,55.97%,0.00%,NA,45.13%,12/31/10
American Asset Development In,AADI,Diversified Co.,9913,NDQ,1,$0.00,6585,30.8,$0.30,$0.30,$0.60,$0.60,$0.00,$0.10,$0.20,NA,NA,NA,NA,NA,NA,3.00,NA,NA,NA,NA,6.00,3.00,NA,NA,NA,-74.53%,NA,0.10,1.0000,NA,-$0.30,NA,NA,NA,NA,NA,-200.00%,-307.84%,-0.4,-0.7,NA,-$0.40,-$0.40,-$0.20,-$0.31,-$0.31,$	(0.31),-$0.01,0.00%,NA,-400.00%,0.00%,0.00%,NA,$0.10,$0.00,$0.20,$0.20,-$0.40,$0.00,NA,NA,100.00%,50.00%,NA,0.00%,NA,NA,12/31/09
Aastra Technologies Ltd.,AAH.TO,Telecom. Equipment,4811,TSE,5,$13.86,14852,14.1,$194.50,$16.40,$210.90,$116.00,$94.90,$720.90,$709.70,8.10,8.68,NA,NA,NA,0.62,0.27,3.34,1.93,0.49,0.64,0.16,0.16,7.00%,NA,NA,-14.70%,NA,0.80,0.3180,NA,-$15.88,NA,0.00%,-57.93%,7.66%,11.67%,3.33%,4.81%,235,313.5,587.1,$114.70,-$1.78,$24.00,$34.70,$27.42,$	60.00,$43.30,20.99%,20.79%,15.91%,45.00%,13.16%,16.16%,$11.20,$25.30,$258.80,$709.70,$22.40,$0.00,13.81%,6.39%,8.43%,7.78%,4.97%,0.00%,NA,NA,12/31/10
Alabama Aircraft Inds. Inc.,AAIIQ,Air Transport,4510,NDQ,1,$0.01,12986,4.1,$0.04,$5.00,$5.04,-$2.56,$7.60,$53.50,$60.20,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA,NA,-0.05,-0.04,NA,NA,NA,-26.52%,1.75,0.10,0.9877,126.82%,-$0.86,0.0197,NA,NA,NA,NA,-2.06%,-0.93%,-17.6,-15,36.1,$3.50,$0.44,-$1.10,-$0.50,-$0.50,$	1.30,$0.36,0.00%,NA,6.54%,150.76%,14.21%,21.05%,$0.50,$1.80,$8.20,$60.20,-$1.60,$0.00,0.00%,31.02%,12195.12%,99.19%,NA,0.00%,NA,21.87%,12/31/08
Avantair Inc,AAIR,Air Transport,4510,NDQ,3,$0.75,23271,26.4,$18.20,$29.10,$47.30,$41.70,$5.60,$149.00,$151.40,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,0.28,0.28,NA,NA,NA,3.93%,NA,0.65,0.6500,NA,-$3.89,NA,NA,NA,NA,NA,-7.25%,-4.24%,-5.8,-29.3,110.9,-$48.80,-$0.79,-$10.80,-$6.32,-$6.32,$	(2.12),-$2.43,0.00%,NA,-32.75%,11.84%,3.76%,5.05%,$1.10,$4.20,$35.60,$151.40,-$7.70,$0.00,0.99%,33.09%,159.89%,61.52%,NA,0.00%,NA,38.71%,6/30/11
Aaron's Inc.,AAN,Retail Store,5300,NYS,8,$26.68,517315,80.1,"$2,010.20",$55.10,"$2,065.30","$1,993.30",$72.00,"$1,876.80","$1,985.00",16.98,14.60,$1.91,13.97,1.62,2.05,1.07,10.28,8.33,2.07,2.00,1.06,1.00,15.00%,10.50%,8.00%,8.78%,1.14,0.90,0.2099,43.98%,$80.89,0.5116,3.74%,67.24%,12.09%,12.50%,6.31%,10.33%,962.5,979.4,1502.1,$671.10,$38.69,$118.40,$193.90,$120.31,$	239.30,$39.42,37.95%,37.95%,35.76%,3.49%,3.84%,4.79%,$87.60,$45.40,$779.50,"$1,985.00",$137.70,$4.42,13.73%,13.64%,2.74%,2.67%,5.33%,0.22%,3.70%,87.40%,12/31/10
AAON Inc.,AAON,Machinery,3500,NDQ,7,$20.49,57761,24.8,$532.80,$0.00,$532.80,$519.40,$13.40,$244.60,$268.60,24.33,28.19,$0.74,27.69,NA,4.57,2.18,15.88,12.19,5.03,4.57,2.12,1.93,21.50%,NA,NA,3.98%,1.3,0.95,0.2467,34.88%,$11.72,0.6809,27.00%,53.53%,18.77%,21.20%,8.95%,13.37%,103.3,116.7,160.3,$42.00,$4.12,$21.90,$32.70,$21.90,$	42.60,$10.18,33.04%,33.03%,17.17%,2.52%,5.48%,8.36%,$17.50,$9.90,$22.50,$268.60,$18.90,$5.91,0.00%,42.05%,0.00%,0.00%,0.00%,1.11%,NA,63.09%,12/31/10
Advance Auto Parts,AAP,Retail Automotive,5531,NYS,9,$69.63,1123384,82,"$5,091.20",$301.90,"$5,393.10","$5,333.90",$59.20,"$5,925.20","$6,113.00",14.71,13.53,$5.47,12.73,0.95,4.90,0.86,9.12,7.12,4.16,4.02,0.90,0.87,13.00%,15.50%,12.00%,25.05%,0.13,0.85,0.1873,23.35%,$42.11,0.8000,5.15%,11.59%,33.30%,28.35%,5.84%,9.87%,1282.1,1039.4,3354.2,$218.00,$6.91,$346.10,$585.00,$363.41,$	749.40,$321.30,37.88%,37.87%,3.68%,1.10%,1.00%,1.76%,$199.60,$164.40,"$2,376.40","$6,113.00",$376.40,$17.82,0.00%,34.08%,5.93%,5.60%,22.51%,0.35%,2.00%,95.95%,1/1/11
American Petro-Hunter Inc.,AAPH,Petroleum (Producing),1300,NDQ,2,$0.23,121607,27.1,$5.90,$1.80,$7.70,$7.70,$0.00,$0.10,$0.20,NA,NA,NA,NA,NA,NA,59.00,NA,NA,19.25,19.25,77.00,38.50,NA,NA,NA,14.56%,NA,1.00,0.5730,NA,$0.40,NA,NA,NA,NA,-430.11%,-2500.00%,-1720.44%,0.4,-1.4,0.9,-$0.60,-$0.60,-$2.50,-$1.72,-$1.72,$	(1.72),-$2.12,0.00%,NA,-600.00%,0.00%,0.00%,0.00%,$1.00,$0.00,$0.80,$0.20,-$3.00,$0.00,0.00%,100.00%,30.51%,23.38%,NA,0.00%,NA,NA,12/31/10
Apple Inc.,AAPL,Computers/Peripherals,3573,NDQ,10,$405.00,17247279,929.3,"$370,363.30",$0.00,"$370,363.30","$344,411.30","$25,952.00","$108,249.00","$108,249.00",14.29,14.29,$32.50,12.46,0.43,4.83,3.42,10.19,9.67,6.80,4.83,3.18,3.18,64.50%,33.00%,25.50%,63.58%,0.82,1.05,0.1576,25.34%,"$2,446.00",0.8000,0.00%,9.55%,33.83%,50.54%,23.95%,31.22%,50663,76615,116371,"-$8,934.00",$0.00,"$25,922.00","$33,790.00","$25,607.41","$	35,604.00","$23,161.41",24.22%,24.22%,-8.25%,7.01%,23.97%,22.30%,"$4,260.00","$1,814.00","$10,028.00","$108,249.00","$25,922.00",$0.00,0.00%,6.68%,0.00%,0.00%,0.00%,0.00%,1.00%,68.64%,9/24/11
America's Suppliers Inc,AASL,Computer Software,3579,NDQ,1,$0.17,6032,13,$2.50,$0.00,$2.50,$1.20,$1.30,$15.70,NA,12.50,NA,NA,NA,NA,NA,0.16,6.00,4.00,NA,NA,0.08,NA,NA,NA,NA,22.33%,-4.7,NA,0.6471,400.00%,$0.10,NA,0.00%,50.00%,NA,NA,1.27%,1.27%,-1.5,-0.2,1.9,-$1.80,NA,$0.20,$0.20,$0.20,$	0.30,$0.10,0.00%,0.00%,-11.46%,52.00%,8.28%,68.42%,$0.20,$0.10,$5.00,NA,NA,$0.00,0.00%,21.05%,0.00%,0.00%,NA,0.00%,NA,NA,12/31/10
All-American Sportpark Inc,AASP,Recreation,7900,NDQ,1,$0.16,3017,4.5,$0.70,$5.40,$6.10,$6.10,$0.00,$2.00,$2.20,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,3.05,2.77,NA,NA,NA,-24.49%,2.1,0.55,0.7215,219.22%,-$0.53,0.0627,NA,NA,NA,NA,-45.00%,-22.62%,-4.5,-9.9,0.8,-$4.30,-$0.43,-$0.90,-$0.45,-$0.45,$	(0.35),$0.08,0.00%,NA,-215.00%,0.00%,0.00%,0.00%,$0.00,$0.10,$1.60,$2.20,-$0.70,$0.00,0.00%,87.50%,771.43%,88.52%,NA,0.00%,NA,NA,12/31/10
Advanced Analogic Tech. Inc.,AATI,Semiconductor,3674,NDQ,6,$5.78,704495,42.4,$253.90,$0.00,$253.90,$166.50,$87.40,$94.10,$90.70,NA,NA,NA,NA,NA,2.07,2.70,NA,NA,4.76,2.07,1.77,1.84,NA,25.00%,NA,10.20%,0.85,1.10,0.3048,49.37%,-$1.47,0.5570,NA,NA,-10.46%,-36.30%,-13.60%,-13.50%,35,122.4,138.8,$12.90,-$0.47,-$12.80,-$12.71,-$12.71,$	(9.11),-$11.24,0.00%,NA,13.71%,34.42%,92.88%,62.97%,$2.60,$3.60,$55.40,$90.70,-$17.90,$0.00,11.67%,3.67%,0.00%,0.00%,0.00%,0.00%,NA,72.13%,12/31/10
AvStar Aviation Group Inc,AAVG,Air Transport,4510,NDQ,1,$0.00,5447240,176.9,$3.90,$1.60,$5.50,$5.50,$0.00,$1.50,$2.00,NA,NA,NA,NA,NA,NA,2.60,NA,NA,11.00,11.00,3.67,2.75,NA,NA,NA,-16.28%,NA,0.35,1.0000,NA,-$0.17,NA,NA,NA,NA,-217.68%,-100.00%,-72.56%,0.5,-1.1,1,-$0.50,-$0.17,-$1.50,-$1.09,-$1.09,$	(1.09),-$0.92,0.00%,NA,-33.33%,0.00%,0.00%,0.00%,$0.00,$0.00,$1.10,$2.00,-$0.90,$0.00,0.00%,0.00%,41.03%,29.09%,NA,0.00%,NA,NA,12/31/10
Atlas Air Worldwide,AAWW,Air Transport,4510,NDQ,8,$38.43,282779,25.9,"$1,014.70",$487.20,"$1,501.90",$906.80,$595.10,"$1,337.80","$1,369.80",6.76,9.78,$5.38,7.14,0.59,0.97,0.76,3.92,3.41,0.97,0.98,0.68,0.66,NA,11.50%,3.00%,24.87%,2.23,1.65,0.4255,62.24%,$34.63,0.6628,0.00%,23.80%,14.33%,15.51%,11.21%,17.30%,938.5,1046.4,1936.1,-$40.60,-$0.97,$150.00,$231.50,$145.52,$	265.90,$110.89,37.14%,36.66%,-3.03%,39.62%,44.48%,30.74%,$70.00,$34.40,$597.60,"$1,369.80",$103.70,$0.00,2.20%,51.34%,48.01%,32.44%,31.77%,0.00%,1.70%,NA,12/31/10
AllianceBernstein Hldg.,AB,Financial Svcs. (Div.),6100,NYS,9,$13.08,468380,278.1,"$3,719.60",$225.00,"$3,944.60","$2,184.50","$1,760.10","$2,948.60","$2,902.50",8.41,7.75,$1.27,10.30,1.29,0.85,1.26,4.74,3.07,0.77,0.86,0.74,0.75,-5.00%,6.50%,3.50%,0.21%,1.55,1.45,0.3224,40.03%,-$210.49,0.8000,105.60%,-49.79%,10.13%,14.92%,15.00%,15.63%,2833.5,4368.6,7579.4,"-$1,132.90",$17.71,$442.40,$460.90,$422.77,$	712.60,$633.26,8.27%,4.98%,-38.42%,44.62%,59.69%,23.22%,$23.50,$251.70,$515.90,"$2,902.50",$480.00,$467.18,41.49%,3.96%,6.05%,5.70%,4.90%,12.56%,NA,32.36%,12/31/10
Advanced Battery Technologies,ABAT,Power,4900,NDQ,4,$0.43,1742909,76.4,$42.80,$0.00,$42.80,-$68.30,$111.10,$97.10,$114.70,1.17,1.22,NA,NA,NA,0.21,0.44,NA,NA,-0.73,0.21,-0.70,-0.60,NA,NA,NA,37.10%,0.44,1.30,0.8689,166.47%,$11.93,0.1952,0.00%,37.65%,17.88%,33.66%,37.80%,39.03%,94.1,205.2,227.6,$20.00,$3.63,$36.70,$37.90,$31.68,$	42.00,$19.75,16.42%,16.40%,20.60%,259.58%,114.42%,48.81%,$12.40,$4.10,$8.00,$114.70,$35.00,$0.00,7.25%,25.26%,0.00%,0.00%,0.00%,0.00%,NA,16.44%,12/31/10
Abaxis Inc.,ABAX,Med Supp Non-Invasive,3842,NDQ,7,$27.67,125603,22.6,$606.30,$0.00,$606.30,$536.80,$69.50,$143.70,$149.40,41.81,47.74,$0.68,40.69,2.79,3.60,4.22,23.96,19.88,5.42,3.60,3.74,3.59,0.50%,15.00%,14.50%,12.92%,0.98,1.15,0.2338,40.48%,$3.81,0.7102,0.00%,27.59%,8.60%,13.94%,10.09%,15.59%,99.1,168.6,188.3,$38.10,$1.51,$14.50,$22.40,$13.81,$	27.00,$10.00,38.33%,38.56%,26.51%,11.46%,48.36%,36.91%,$6.90,$4.60,$57.30,$149.40,$12.70,$0.00,2.23%,10.41%,0.00%,0.00%,0.00%,0.00%,6.90%,94.73%,3/31/11
ABB Ltd,ABB,Diversified Co.,9913,NYS,10,$18.83,3091078,2289.4,"$42,285.60","$2,333.00","$44,618.60","$35,066.60","$9,552.00","$31,795.00","$36,601.00",14.66,13.93,NA,NA,NA,3.07,1.33,9.24,8.06,5.34,2.77,1.10,0.96,78.50%,NA,NA,-9.19%,1.39,1.35,0.2689,35.15%,$603.31,0.8000,0.00%,20.99%,20.91%,43.74%,9.07%,11.94%,6571,13790,34728,"$1,259.00",$190.31,"$2,884.00","$3,797.00","$2,874.48","$	4,351.00","$2,271.18",24.30%,30.00%,3.96%,21.41%,30.04%,27.51%,$967.00,$554.00,"$5,528.00","$36,601.00","$3,036.00",$0.00,9.29%,11.73%,5.52%,5.23%,14.47%,0.00%,NA,6.54%,12/31/09
AmerisourceBergen,ABC,Med Supp Non-Invasive,3842,NYS,10,$37.19,2645071,276.3,"$10,087.60","$1,343.60","$11,431.20","$9,773.00","$1,658.20","$77,954.00","$80,217.60",15.84,13.98,$2.80,13.28,1.32,3.41,0.13,8.86,8.21,3.70,2.66,0.13,0.12,13.50%,12.00%,5.00%,16.01%,0.69,0.70,0.1235,22.83%,$74.41,0.7665,22.18%,10.88%,21.55%,25.90%,0.82%,1.42%,2639.7,2954.3,14434.8,-$815.70,-$23.69,$636.70,"$1,103.60",$683.72,"$	1,190.10",$609.31,38.05%,38.05%,-1.05%,14.51%,2.13%,11.49%,$184.60,$86.50,"$1,166.50","$80,217.60",$721.80,$141.23,20.61%,4.93%,13.32%,11.75%,31.26%,1.40%,2.00%,92.84%,9/30/10
Ameris Bancorp,ABCB,Bank,6000,NDQ,5,$10.28,57893,23.6,$246.70,$73.80,$320.50,$246.20,$74.30,NA,NA,NA,56.07,NA,NA,NA,0.90,NA,3.11,3.11,0.90,0.92,NA,NA,NA,9.00%,NA,NA,1.59,1.40,0.1481,54.40%,$0.00,0.6434,NA,0.00%,-1.46%,28.98%,NA,NA,272.9,273.4,2972.2,$0.00,NA,-$4.00,$79.10,$79.10,$	79.10,$79.10,0.00%,NA,NA,23.18%,NA,2.50%,$0.00,$0.00,$28.60,NA,$4.40,$0.00,0.17%,0.00%,29.91%,23.03%,21.26%,0.00%,NA,64.88%,12/31/10
Cambium Learning Group Inc,ABCD,Educational Services,8299,NDQ,5,$3.02,44155,43.9,$158.50,$164.90,$323.40,$311.60,$11.80,$181.30,$189.40,NA,NA,NA,NA,NA,1.28,0.87,NA,9.14,1.12,1.12,1.72,1.65,NA,NA,NA,79.33%,NA,NA,0.2322,NA,-$21.14,NA,NA,NA,-12.82%,-0.11%,-8.77%,-0.17%,277.1,124,383.1,-$0.90,-$0.04,-$15.90,-$0.30,-$0.30,$	34.10,$20.84,0.00%,NA,-0.50%,3.65%,6.51%,3.08%,$13.30,$34.40,$84.00,$189.40,-$1.20,$0.00,64.16%,6.55%,104.04%,50.99%,57.08%,0.00%,NA,18.29%,12/31/10
Advisory Board,ABCO,Information Services,8900,NDQ,8,$74.21,80337,16,"$1,210.50",$0.00,"$1,210.50","$1,180.10",$30.40,$290.20,$326.90,65.43,68.01,$1.97,37.67,2.78,8.15,4.17,44.36,36.20,9.98,8.15,4.07,3.61,-2.00%,23.50%,16.00%,17.45%,0.32,0.80,0.2480,34.29%,-$6.00,0.5833,0.00%,-34.68%,12.45%,14.65%,6.37%,9.17%,118.2,148.6,491.2,-$97.30,-$12.30,$18.50,$26.60,$17.32,$	32.60,$23.32,34.90%,35.09%,-33.53%,2.51%,10.48%,6.19%,$12.30,$6.00,$103.30,$326.90,$17.80,$0.00,17.43%,6.01%,0.00%,0.00%,0.00%,0.00%,10.80%,NA,3/31/11
Ambase Corp,ABCP,Financial Svcs. (Div.),6100,NDQ,4,$1.11,46425,43.1,$49.50,$0.00,$49.50,$40.00,$9.50,NA,NA,NA,NA,NA,NA,NA,4.30,NA,NA,NA,20.00,4.30,NA,NA,NA,NA,NA,NA,-2.55,0.20,0.8408,166.28%,$0.00,0.0301,NA,NA,-17.39%,NA,NA,NA,2,11.5,11.8,-$0.20,NA,-$2.00,NA,NA,NA,NA,0.00%,NA,NA,19.19%,NA,80.51%,$0.00,$0.00,$0.30,NA,-$1.80,$0.00,0.00%,16.95%,0.00%,0.00%,0.00%,0.00%,NA,0.11%,12/31/10
Anchor BanCorp WI,ABCW,Thrift,6120,NDQ,2,$0.34,80880,21.7,$6.30,$60.00,$66.30,-$40.70,$107.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62,1.45,0.8627,114.70%,$0.00,0.3160,NA,0.00%,NA,NA,NA,NA,-60.2,-13.2,3394.8,$0.00,NA,-$41.20,$121.70,$121.70,$	121.70,$121.70,0.00%,NA,NA,161.39%,NA,3.15%,$0.00,$0.00,$48.70,NA,-$55.00,$0.00,0.00%,0.86%,952.38%,90.50%,NA,0.00%,NA,13.18%,3/31/11
ACCO Brands,ABD,Office Equip/Supplies,3570,NYS,7,$9.65,312667,54.8,$544.80,$727.60,"$1,272.40","$1,189.20",$83.20,"$1,330.50","$1,352.10",47.37,25.82,$0.53,18.21,2.02,NA,0.41,10.34,7.85,2.11,1.96,0.89,0.88,-29.00%,23.50%,0.50%,4.12%,3.88,1.70,0.4117,185.65%,-$20.49,0.2289,0.00%,-44.55%,NA,8.15%,0.86%,8.64%,564.6,-79.8,1149.6,$209.80,$3.41,$11.50,$115.00,$46.00,$	151.50,$66.49,60.00%,73.68%,15.77%,6.54%,6.25%,7.24%,$12.60,$36.50,$300.40,"$1,352.10",$21.10,$0.00,24.58%,14.22%,133.55%,57.18%,NA,0.00%,3.50%,95.62%,12/31/10
Arkansas Best,ABFS,Trucking,4200,NDQ,6,$19.27,378964,25.3,$493.40,$69.70,$563.10,$369.60,$193.50,"$1,657.90","$1,885.40",NA,308.38,$1.05,18.35,NA,1.03,0.30,NA,21.74,1.04,1.02,0.22,0.20,NA,NA,6.00%,11.73%,2.15,1.20,0.3347,50.34%,-$60.30,0.5959,NA,NA,-6.82%,-15.34%,-1.97%,-3.29%,355.9,479.7,861,-$0.70,-$0.10,-$32.70,-$54.60,-$54.60,$	17.00,$5.70,0.00%,NA,-0.04%,34.36%,11.67%,22.47%,$11.40,$71.60,$306.80,"$1,885.40",$1.60,$3.06,0.00%,47.29%,14.13%,12.38%,12.69%,0.62%,1.00%,92.48%,12/31/10
Asbury Automotive,ABG,Retail Automotive,5531,NYS,7,$21.56,388891,32.8,$654.00,$962.90,"$1,616.90","$1,595.60",$21.30,"$3,936.00","$4,229.90",17.17,14.86,$1.99,10.83,0.58,2.28,0.17,12.46,10.69,1.30,1.29,0.41,0.38,-9.50%,29.50%,8.00%,6.61%,3.08,1.90,0.1905,89.95%,$57.40,0.5281,0.00%,72.80%,13.27%,6.42%,0.97%,3.25%,1228.7,287.1,1486.3,$648.20,$48.40,$38.10,$128.10,$78.85,$	149.20,$21.45,38.45%,38.45%,16.47%,1.32%,0.54%,1.43%,$30.10,$21.10,$499.50,"$4,229.90",$44.00,$0.00,1.27%,30.84%,147.23%,59.55%,77.03%,0.00%,5.90%,NA,12/31/10
ARCA biopharma Inc,ABIO,Drug,2834,NDQ,2,$1.00,202780,8.8,$10.80,$0.00,$10.80,$3.80,$7.00,NA,NA,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10,0.5571,400.00%,-$0.30,0.0688,NA,NA,-123.53%,NA,NA,NA,-0.2,6.8,8.2,-$1.10,NA,-$8.40,NA,NA,NA,NA,0.00%,NA,NA,64.81%,NA,85.37%,$0.00,$0.30,$6.10,NA,-$7.30,$0.00,0.00%,8.54%,0.00%,0.00%,0.00%,0.00%,NA,8.24%,12/31/10
Abatix Corp,ABIX,Building Materials,3200,NDQ,3,$10.85,3030,1.8,$20.30,$0.00,$20.30,$20.10,$0.20,$55.00,$57.30,29.00,20.30,NA,NA,NA,1.29,0.37,18.27,13.40,1.30,1.29,0.37,0.35,16.00%,NA,NA,-33.90%,0.51,0.60,0.4066,64.14%,$0.40,0.2339,0.00%,58.44%,4.46%,4.44%,1.27%,2.00%,15.5,15.7,19.1,$14.40,$0.60,$0.70,$1.10,$0.69,$	1.50,$0.29,37.43%,36.36%,26.18%,0.99%,0.36%,1.05%,$0.20,$0.40,$15.60,$57.30,$1.00,$0.00,0.52%,4.19%,0.00%,0.00%,0.00%,0.00%,NA,NA,12/31/09
